id_solicitud,edad,genero,estado_civil,nivel_educacion,ciudad,tipo_empleo,antiguedad_laboral_meses,ingreso_mensual_bs,monto_solicitado_bs,plazo_meses,num_dependientes,puntaje_crediticio,tiene_vivienda_propia,historial_mora,nivel_riesgo,aprobado
1038,32,Masculino,Soltero,Licenciatura,Santa Cruz,Empleado Público,471.0,7764.0,50156.0,12,4,691.0,Sí,Sí,Alto,0
1039,51,Masculino,Soltero,Licenciatura,La Paz,Independiente,33.0,,57566.0,12,3,693.0,NO,No,Medio,1
1040,26,Masculino, VIUDO,Secundaria,Sucre,Dependiente,304.0,114938.0,233649.0,48,2,431.0,No,No,Medio,1
1041,58,Femenino, SOLTERO,Licenciatura,Santa Cruz,Dependiente,213.0,11601.0,22885.0,18,2,831.0,Sí,Sí,Alto,0
1042,55,Masculino,Casado,Licenciatura,Santa Cruz,Empleado Público,133.0,8805.0,53204.0,12,4,698.0,Sí,No,Bajo,0
1043,36,Femenino,Soltero,Posgrado,El Alto,Dependiente,149.0,13044.0,147872.0,18,1,713.0,No,No,Bajo,1
1044,21,Femenino,Casado,Posgrado,El Alto,Dependiente,262.0,11037.0,103502.0,18,3,637.0,NO,No,Bajo,1
1045,69,Masculino,Soltero,Primaria,Cochabamba,Empleado Público,308.0,4023.0,24531.0,18,4,483.0,NO,Sí,Alto,0
1046,41,Masculino,Casado,Técnico,El Alto,Dependiente,78.0,5483.0,64137.0,12,1,711.0,Sí,No,Bajo,0
1047,65,Masculino,Soltero,Técnico,La Paz,Dependiente,295.0,6399.0,42035.0,36,1,599.0,No,No,Medio,0
1048,53,Femenino, VIUDO,Secundaria,Oruro,Dependiente,445.0,1396.0,7280.0,12,2,699.0,No,No,Bajo,1
1049,59,Masculino,Unión Libre,Secundaria,Santa Cruz,Desempleado,,4551.0,30695.0,36,4,630.0,Sí,Sí,Alto,0
1050,58,Femenino,Soltero,Posgrado,Santa Cruz,Dependiente,422.0,13124.0,51332.0,12,1,671.0,Sí,Sí,Alto,0
1051,28,Masculino,Soltero,Primaria,Santa Cruz,Dependiente,292.0,2899.0,31437.0,36,2,580.0,Sí,No,Medio,0
1052,37,Masculino,Soltero,Técnico,Sucre,Dependiente,164.0,7528.0,43650.0,36,3,,No,No,Bajo,1
1053,42,Femenino,Casado,Licenciatura,Santa Cruz,Dependiente,353.0,4896.0,42468.0,12,1,543.0,Sí,Sí,Alto,0
1054,44,Femenino,Soltero,Secundaria,Oruro,Dependiente,297.0,3721.0,25543.0,12,3,850.0,No,No,Bajo,0
1055,20,Femenino,Viudo,Técnico,Montero,Dependiente,369.0,8861.0,101388.0,48,0,850.0,No,No,Bajo,0
1056,46,Masculino,Divorciado,Posgrado,Cochabamba,Dependiente,39.0,8893.0,74287.0,24,0,797.0,Sí,Sí,Alto,0
1057,26,Femenino,Divorciado,Técnico,Santa Cruz,Dependiente,28.0,9712.0,67362.0,24,1,765.0,No,Sí,Alto,0
1058,57,Masculino, CASADO,Secundaria,Oruro,Desempleado,,3801.0,12785.0,6,2,,No,No,Medio,0
1059,54,Masculino,Unión Libre,Primaria,Santa Cruz,Dependiente,146.0,5334.0,61525.0,12,0,755.0,Sí,No,Bajo,1
1060,66,Masculino,Soltero,Posgrado,Santa Cruz,Dependiente,114.0,9784.0,73637.0,24,6,641.0,No,No,Bajo,1
1061,57,Femenino,Casado,Secundaria,Cochabamba,Desempleado,,7147.0,33591.0,48,2,510.0,No,No,Alto,0
1062,37,Masculino,Soltero,Técnico,El Alto,Desempleado,,10916.0,120257.0,12,5,785.0,si,Sí,Alto,0
1063,69,Femenino,Unión Libre,Secundaria,La Paz,Independiente,86.0,2511.0,6502.0,36,6,752.0,No,No,Medio,0
1064,39,Masculino,Casado,Técnico,Santa Cruz,Dependiente,468.0,8455.0,45101.0,36,5,647.0,No,No,Bajo,0
1065,35,Masculino,Divorciado,Posgrado,La Paz,Dependiente,202.0,8461.0,65116.0,12,5,540.0,si,No,Medio,0
1066,65,Masculino,Soltero,Técnico,Santa Cruz,Dependiente,72.0,8127.0,42017.0,18,0,,No,No,Medio,0
1067,37,Masculino,Unión Libre,Posgrado,Cochabamba,Dependiente,34.0,10243.0,70276.0,12,2,486.0,No,No,Medio,0
1068,22,Femenino,Casado,Secundaria,Montero,Dependiente,412.0,5459.0,27985.0,24,5,735.0,No,No,Bajo,1
1069,42,Masculino,Casado,Técnico,La Paz,Independiente,54.0,5536.0,16499.0,24,4,506.0,Sí,No,Alto,0
1070,60,Femenino,Unión Libre,Licenciatura,Cochabamba,Dependiente,201.0,9693.0,21988.0,24,0,676.0,Sí,Sí,Alto,0
1071,28,Femenino,,Técnico,Santa Cruz,Independiente,321.0,6634.0,25620.0,12,3,574.0,Sí,No,Alto,1
1072,42,Femenino, CASADO,Secundaria,La Paz,Dependiente,246.0,5004.0,58701.0,36,5,522.0,No,No,Medio,0
1073,24,Femenino, CASADO,Licenciatura,El Alto,Dependiente,126.0,9565.0,75048.0,24,5,671.0,No,No,Bajo,0
1074,54,Femenino,Soltero,Técnico,La Paz,Empleado Público,51.0,3794.0,29159.0,24,2,620.0,No,Sí,Alto,0
1075,43,Femenino,Soltero,Técnico,El Alto,Desempleado,,8337.0,47815.0,24,1,725.0,Sí,No,Medio,1
1076,35,Femenino,Soltero,Posgrado,El Alto,Dependiente,235.0,9985.0,90439.0,12,2,536.0,No,No,Medio,0
1077,30,Masculino,Soltero,Secundaria,Santa Cruz,Independiente,23.0,6150.0,20332.0,36,2,582.0,No,No,Alto,0
1078,47,Masculino,Viudo,Secundaria,Cochabamba,Dependiente,87.0,,24561.0,18,2,435.0,NO,No,Medio,0
1079,53,Femenino,Casado,Primaria,La Paz,Dependiente,270.0,2667.0,25995.0,18,2,453.0,No,Sí,Alto,0
1080,67,Femenino,,Técnico,La Paz,Empleado Público,80.0,8492.0,57308.0,12,3,812.0,No,No,Bajo,1
1081,41,Femenino,Casado,Secundaria,La Paz,Dependiente,188.0,5304.0,52725.0,24,0,838.0,Sí,No,Bajo,0
1082,26,Masculino,,Licenciatura,Cochabamba,Independiente,59.0,,109998.0,24,1,658.0,NO,No,Medio,0
1083,62,Femenino,Casado,Secundaria,Santa Cruz,Independiente,383.0,6841.0,72298.0,18,2,576.0,No,Sí,Alto,0
1084,51,Femenino,Unión Libre,Licenciatura,Cochabamba,Dependiente,303.0,9851.0,38476.0,48,1,623.0,No,Sí,Alto,0
1085,55,Femenino,Unión Libre,Secundaria,El Alto,Dependiente,377.0,,14818.0,36,6,729.0,Sí,No,Bajo,1
1086,23,Femenino,Casado,Secundaria,La Paz,Dependiente,25.0,,25491.0,12,4,604.0,No,Sí,Alto,0
1087,34,Femenino,Soltero,Secundaria,Quillacollo,Jubilado,268.0,6414.0,63365.0,36,6,671.0,Sí,No,Bajo,1
1088,58,Masculino,Casado,Licenciatura,La Paz,Independiente,128.0,8674.0,100930.0,18,3,649.0,Sí,No,Medio,0
1089,62,Masculino,Casado,Técnico,La Paz,Dependiente,299.0,7471.0,88525.0,60,0,599.0,Sí,No,Medio,0
1090,41,Masculino,Casado,Secundaria,La Paz,Dependiente,395.0,,18983.0,12,6,603.0,No,No,Bajo,1
1091,60,Masculino,Casado,Licenciatura,Yacuiba,Independiente,109.0,9193.0,96685.0,18,3,676.0,Sí,No,Medio,1
1092,62,Masculino,Casado,Técnico,Cochabamba,Dependiente,370.0,5640.0,42282.0,24,4,562.0,No,Sí,Alto,0
1093,38,Femenino,,Secundaria,Cochabamba,Independiente,279.0,4963.0,52417.0,12,2,691.0,No,Sí,Alto,0
1094,65,Masculino,Soltero,Posgrado,Yacuiba,Empleado Público,396.0,12953.0,97903.0,36,3,608.0,No,Sí,Alto,0
1095,33,Masculino,Casado,Secundaria,La Paz,Independiente,39.0,,12172.0,24,3,661.0,No,Sí,Alto,0
1096,30,Femenino,Soltero,Primaria,Sacaba,Dependiente,476.0,3572.0,9393.0,12,1,,No,No,Bajo,1
1097,54,Masculino,Soltero,Técnico,El Alto,Dependiente,209.0,3842.0,47421.0,24,3,635.0,No,No,Bajo,0
1098,51,Femenino,Casado,Secundaria,Cochabamba,Dependiente,134.0,6856.0,45810.0,48,5,733.0,Sí,No,Bajo,1
1099,25,Masculino,Casado,Secundaria,Santa Cruz,Independiente,87.0,,21223.0,36,0,489.0,Sí,Sí,Alto,0
1100,62,Masculino,Soltero,Licenciatura,Santa Cruz,Desempleado,,9410.0,53961.0,24,0,608.0,No,No,Medio,0
1101,28,Masculino,Casado,Secundaria,Montero,Dependiente,424.0,6333.0,37945.0,18,5,652.0,NO,Sí,Alto,0
1102,60,Masculino,Divorciado,Licenciatura,La Paz,Independiente,63.0,9628.0,114600.0,12,3,823.0,No,No,Medio,0
1103,18,Masculino,Soltero,Posgrado,Riberalta,Independiente,213.0,,24768.0,48,6,474.0,Sí,No,Alto,1
1104,60,Masculino,Divorciado,Licenciatura,Santa Cruz,Dependiente,352.0,12434.0,34278.0,36,4,641.0,NO,Sí,Alto,0
1105,59,Masculino,Unión Libre,Licenciatura,Cochabamba,Dependiente,284.0,10177.0,103647.0,24,4,781.0,No,No,Bajo,0
1106,59,Femenino,Casado,Licenciatura,Sacaba,Dependiente,90.0,8236.0,60811.0,48,6,579.0,NO,Sí,Alto,0
1107,53,Masculino,Casado,Posgrado,La Paz,Independiente,173.0,,31788.0,12,4,631.0,No,No,Medio,0
1108,42,Masculino,Soltero,Secundaria,Montero,Independiente,177.0,,10618.0,36,2,680.0,No,No,Medio,0
1109,55,Femenino,Unión Libre,Secundaria,Cochabamba,Empleado Público,138.0,4134.0,17226.0,12,3,667.0,No,No,Bajo,0
1110,32,Femenino,Casado,Técnico,Potosí,Desempleado,,9810.0,41911.0,12,1,791.0,No,No,Medio,0
1111,59,Masculino,Unión Libre,Técnico,La Paz,Empleado Público,97.0,7581.0,14600.0,24,2,690.0,No,No,Bajo,1
1112,47,Femenino,Casado,Secundaria,Cochabamba,Jubilado,383.0,3359.0,14174.0,18,4,769.0,No,No,Bajo,0
1113,42,Femenino,Soltero,Licenciatura,Potosí,Empleado Público,438.0,9238.0,88242.0,48,1,618.0,No,No,Bajo,0
1114,44,Femenino,Soltero,Primaria,Santa Cruz,Desempleado,,3431.0,36374.0,18,4,583.0,No,No,Alto,0
1115,48,Femenino,Casado,Posgrado,La Paz,Empleado Público,384.0,11067.0,121199.0,36,4,630.0,No,No,Bajo,1
1116,19,Femenino,Casado,Secundaria,El Alto,Empleado Público,76.0,6658.0,39431.0,36,2,546.0,NO,No,Medio,0
1117,25,Masculino,Soltero,Primaria,Tarija,Empleado Público,64.0,800.0,7731.0,36,0,694.0,si,Sí,Alto,0
1118,31,Femenino,Casado,Secundaria,La Paz,Jubilado,377.0,7083.0,86560.0,48,4,615.0,No,No,Bajo,1
1119,24,Masculino,Viudo,Secundaria,Potosí,Independiente,359.0,4901.0,48559.0,18,5,590.0,NO,No,Alto,0
1120,41,Masculino,Casado,Secundaria,Riberalta,Independiente,356.0,2094.0,15776.0,18,5,695.0,Sí,Sí,Alto,0
1121,53,Femenino,Casado,Primaria,La Paz,Independiente,201.0,800.0,4752.0,12,2,547.0,Sí,No,Alto,0
1122,52,Femenino,Soltero,Secundaria,La Paz,Desempleado,,5999.0,30730.0,12,4,719.0,Sí,Sí,Alto,0
1123,42,Masculino,Divorciado,Secundaria,Potosí,Independiente,7.0,800.0,6825.0,48,2,607.0,No,No,Medio,1
1124,63,Femenino,Soltero,Secundaria,La Paz,Empleado Público,139.0,5022.0,37836.0,24,2,754.0,No,No,Bajo,0
1125,47,Femenino,Viudo,Técnico,Cochabamba,Empleado Público,254.0,8914.0,16067.0,18,2,615.0,No,No,Bajo,0
1126,22,Masculino,Casado,Secundaria,Potosí,Jubilado,373.0,5229.0,63923.0,12,1,707.0,Sí,No,Bajo,1
1127,58,Masculino,Casado,Secundaria,Cochabamba,Dependiente,62.0,3904.0,31141.0,24,6,666.0,No,Sí,Alto,0
1128,48,Masculino,Soltero,Secundaria,Santa Cruz,Empleado Público,21.0,,36708.0,36,4,717.0,No,Sí,Alto,0
1129,51,Femenino,Soltero,Primaria,Potosí,Empleado Público,100.0,2864.0,13679.0,18,1,660.0,No,No,Bajo,0
1130,47,Masculino,Divorciado,Secundaria,Cochabamba,Jubilado,277.0,3638.0,37881.0,36,6,500.0,Sí,No,Medio,0
1131,47,Masculino,Casado,Licenciatura,El Alto,Desempleado,,11125.0,105726.0,24,1,741.0,Sí,No,Medio,0
1132,22,Femenino,Casado,Posgrado,Cochabamba,Independiente,456.0,10848.0,31725.0,36,4,642.0,No,No,Medio,0
1133,47,Masculino,Unión Libre,Posgrado,Trinidad,Independiente,123.0,11117.0,87406.0,12,1,721.0,Sí,No,Medio,0
1134,60,Femenino,Unión Libre,Técnico,Cochabamba,Dependiente,288.0,4471.0,42517.0,24,2,712.0,NO,No,Bajo,1
1135,34,Femenino,Viudo,Técnico,Santa Cruz,Jubilado,362.0,6971.0,72648.0,12,4,580.0,No,No,Medio,0
1136,49,Masculino,Soltero,Secundaria,Santa Cruz,Dependiente,169.0,5088.0,19333.0,18,6,568.0,Sí,No,Medio,1
1137,19,Femenino, CASADO,Licenciatura,La Paz,Empleado Público,316.0,6142.0,69944.0,36,6,709.0,Sí,Sí,Alto,0
1138,36,Femenino, VIUDO,Licenciatura,El Alto,Empleado Público,333.0,8690.0,59622.0,24,6,623.0,No,Sí,Alto,0
1139,41,Masculino,Casado,Licenciatura,La Paz,Independiente,400.0,,22401.0,12,1,734.0,No,No,Medio,0
1140,70,Masculino,Soltero,Licenciatura,Yacuiba,Dependiente,466.0,7323.0,22104.0,48,0,634.0,No,No,Bajo,1
1141,29,Masculino,Divorciado,Técnico,El Alto,Dependiente,295.0,8343.0,32406.0,6,6,742.0,Sí,No,Bajo,1
1142,32,Masculino,Casado,Licenciatura,Sucre,Desempleado,,7463.0,34451.0,24,6,688.0,No,No,Medio,0
1143,39,Masculino, CASADO,Licenciatura,La Paz,Independiente,417.0,8230.0,57844.0,60,1,676.0,No,No,Medio,0
1144,70,Femenino,Unión Libre,Secundaria,El Alto,Dependiente,329.0,6503.0,64308.0,24,0,,No,No,Bajo,0
1145,63,Femenino,Casado,Posgrado,Santa Cruz,Empleado Público,173.0,11846.0,43865.0,36,4,671.0,No,No,Bajo,0
1146,19,Femenino, CASADO,Secundaria,Santa Cruz,Dependiente,303.0,7189.0,88311.0,24,0,,Sí,No,Bajo,1
1147,30,Femenino,Casado,Posgrado,Sucre,Desempleado,,11709.0,41850.0,36,0,645.0,No,Sí,Alto,0
1148,61,Masculino,Casado,Licenciatura,Quillacollo,Dependiente,110.0,7263.0,57731.0,36,6,698.0,No,No,Bajo,1
1149,21,Femenino,Soltero,Secundaria,Tarija,Dependiente,248.0,,48360.0,36,3,654.0,Sí,No,Bajo,0
1150,63,Femenino,Divorciado,Licenciatura,La Paz,Dependiente,299.0,10863.0,112834.0,12,0,661.0,No,No,Bajo,0
1151,32,Femenino, DIVORCIADO,Primaria,Oruro,Independiente,434.0,3128.0,30839.0,36,4,805.0,No,Sí,Alto,0
1152,66,Femenino,Soltero,Licenciatura,La Paz,Independiente,279.0,10616.0,96936.0,12,2,758.0,NO,No,Medio,0
1153,33,Masculino,Soltero,Licenciatura,Montero,Empleado Público,79.0,11529.0,37896.0,60,3,657.0,si,No,Bajo,1
1154,41,Femenino, VIUDO,Licenciatura,Santa Cruz,Independiente,475.0,9855.0,18942.0,12,6,669.0,NO,No,Medio,0
1155,53,Femenino, SOLTERO,Licenciatura,Santa Cruz,Dependiente,278.0,7888.0,48863.0,12,1,587.0,Sí,No,Medio,0
1156,24,Femenino,Casado,Secundaria,La Paz,Dependiente,138.0,3330.0,11918.0,48,4,634.0,No,Sí,Alto,0
1157,47,Masculino,Casado,Secundaria,La Paz,Dependiente,362.0,4239.0,23487.0,12,5,678.0,No,No,Bajo,1
1158,44,Masculino,Casado,Técnico,El Alto,Desempleado,,7695.0,30931.0,18,2,727.0,Sí,Sí,Alto,0
1159,59,Masculino, SOLTERO,Primaria,Montero,Dependiente,177.0,,24956.0,36,6,717.0,Sí,No,Bajo,1
1160,70,Femenino,Casado,Técnico,Sucre,Jubilado,254.0,7741.0,86551.0,12,3,550.0,No,No,Medio,1
1161,53,Femenino,Casado,Secundaria,Sacaba,Dependiente,417.0,7497.0,77668.0,12,3,738.0,Sí,No,Bajo,1
1162,39,Masculino,Casado,Técnico,La Paz,Dependiente,252.0,7004.0,65856.0,24,6,642.0,No,No,Bajo,0
1163,39,Masculino,Soltero,Técnico,Cochabamba,Dependiente,179.0,6456.0,22892.0,12,4,561.0,NO,No,Medio,0
1164,40,Masculino,Casado,Licenciatura,El Alto,Dependiente,415.0,6956.0,14950.0,12,6,770.0,NO,No,Bajo,1
1165,61,Masculino,Casado,Secundaria,Cochabamba,Empleado Público,83.0,4426.0,38189.0,6,5,782.0,Sí,No,Bajo,0
1166,35,Masculino,Soltero,Licenciatura,Santa Cruz,Independiente,359.0,,94795.0,18,4,674.0,Sí,No,Medio,1
1167,26,Femenino,Soltero,Técnico,El Alto,Dependiente,280.0,108314.0,400000.0,18,1,714.0,Sí,No,Bajo,1
1168,35,Femenino,Soltero,Secundaria,Cochabamba,Independiente,410.0,6558.0,46979.0,6,2,719.0,No,No,Medio,0
1169,19,Masculino,Soltero,Técnico,El Alto,Independiente,202.0,7862.0,54079.0,24,6,776.0,No,No,Medio,1
1170,23,Femenino,Soltero,Técnico,Santa Cruz,Jubilado,274.0,5399.0,23724.0,24,4,716.0,No,No,Bajo,1
1171,22,Masculino, UNIÓN LIBRE,Secundaria,Cochabamba,Jubilado,360.0,4477.0,24844.0,6,1,531.0,Sí,No,Medio,0
1172,58,Masculino,Casado,Técnico,La Paz,Independiente,364.0,8836.0,56011.0,18,2,831.0,si,Sí,Alto,0
1173,56,Masculino, DIVORCIADO,Secundaria,Montero,Empleado Público,33.0,3225.0,28703.0,48,5,746.0,Sí,No,Bajo,1
1174,54,Masculino,Unión Libre,Secundaria,Santa Cruz,Empleado Público,308.0,3861.0,47296.0,24,1,604.0,NO,No,Bajo,1
1175,42,Masculino,Soltero,Técnico,Sucre,Independiente,93.0,8984.0,69152.0,18,0,557.0,Sí,No,Alto,0
1176,56,Masculino,Casado,Técnico,Cochabamba,Empleado Público,463.0,7302.0,71511.0,24,5,,Sí,No,Bajo,0
1177,26,Masculino,Viudo,Licenciatura,Potosí,Dependiente,370.0,12701.0,127686.0,12,2,625.0,No,No,Bajo,1
1178,65,Masculino,Casado,Secundaria,Potosí,Empleado Público,50.0,6371.0,17950.0,36,5,680.0,No,No,Bajo,1
1179,44,Femenino,Casado,Posgrado,Tarija,Jubilado,388.0,13699.0,116458.0,48,3,717.0,Sí,No,Bajo,1
1180,67,Masculino,Casado,Licenciatura,Cochabamba,Dependiente,121.0,,77200.0,48,6,599.0,No,No,Medio,0
1181,26,Masculino, SOLTERO,Posgrado,El Alto,Empleado Público,262.0,11271.0,89474.0,12,3,550.0,Sí,No,Medio,1
1182,44,Femenino,Casado,Licenciatura,La Paz,Jubilado,397.0,8569.0,19823.0,18,6,685.0,Sí,No,Bajo,0
1183,54,Femenino,Unión Libre,Secundaria,Cochabamba,Dependiente,50.0,,58339.0,12,5,602.0,Sí,No,Bajo,1
1184,44,Masculino,Unión Libre,Técnico,La Paz,Independiente,116.0,5820.0,68123.0,18,1,663.0,Sí,Sí,Alto,0
1185,41,Masculino,Soltero,Secundaria,El Alto,Desempleado,,7273.0,14136.0,18,6,529.0,No,Sí,Alto,0
1186,26,Femenino,Casado,Licenciatura,La Paz,Jubilado,476.0,11118.0,42439.0,24,5,,No,No,Bajo,1
1187,38,Femenino,Soltero,Técnico,Cochabamba,Dependiente,411.0,,33074.0,12,0,714.0,No,No,Bajo,1
1188,30,Femenino,Unión Libre,Secundaria,La Paz,Dependiente,79.0,,13321.0,48,0,705.0,si,Sí,Alto,0
1189,33,Femenino,Soltero,Posgrado,Cochabamba,Independiente,360.0,15281.0,119261.0,12,1,579.0,No,No,Alto,0
1190,54,Masculino,Unión Libre,Secundaria,Sucre,Dependiente,2.0,5233.0,22429.0,6,0,545.0,NO,No,Medio,0
1191,51,Femenino,Divorciado,Técnico,Sucre,Dependiente,140.0,9622.0,101135.0,48,2,651.0,Sí,No,Bajo,0
1192,50,Femenino,Soltero,Licenciatura,El Alto,Dependiente,84.0,5578.0,32496.0,36,6,,No,No,Bajo,1
1193,37,Masculino,Soltero,Primaria,Cochabamba,Dependiente,59.0,2841.0,21136.0,18,3,686.0,NO,No,Bajo,0
1194,68,Femenino,Divorciado,Técnico,Cochabamba,Independiente,281.0,,24563.0,24,0,604.0,No,Sí,Alto,0
1195,22,Femenino,Soltero,Licenciatura,Santa Cruz,Independiente,433.0,9471.0,68913.0,12,3,677.0,si,Sí,Alto,0
1196,36,Masculino,Casado,Primaria,Cochabamba,Independiente,320.0,1772.0,15332.0,12,1,785.0,No,No,Medio,0
1197,24,Masculino,Unión Libre,Técnico,El Alto,Empleado Público,410.0,3614.0,18538.0,24,5,668.0,No,No,Bajo,0
1198,35,Masculino,Casado,Secundaria,Sacaba,Dependiente,284.0,2654.0,17221.0,18,0,503.0,No,No,Medio,0
1199,68,Masculino,Casado,Licenciatura,La Paz,Dependiente,25.0,,106529.0,24,5,668.0,No,Sí,Alto,0
1200,37,Femenino,Casado,Secundaria,Sucre,Dependiente,166.0,5062.0,38526.0,12,3,834.0,Sí,No,Bajo,1
1201,66,Masculino,Soltero,Posgrado,Cochabamba,Dependiente,396.0,15901.0,178125.0,36,0,534.0,No,No,Medio,1
1202,44,Masculino,Unión Libre,Licenciatura,El Alto,Dependiente,21.0,8361.0,65644.0,36,4,653.0,NO,No,Bajo,0
1203,55,Masculino,Soltero,Secundaria,Oruro,Dependiente,46.0,3761.0,39778.0,12,3,630.0,No,No,Bajo,1
1204,42,Masculino,Soltero,Secundaria,La Paz,Dependiente,401.0,,15230.0,6,5,659.0,Sí,Sí,Alto,1
1205,32,Masculino,Soltero,Técnico,Oruro,Dependiente,30.0,5519.0,56630.0,24,4,667.0,Sí,No,Bajo,0
1206,58,Masculino,Unión Libre,Licenciatura,Cochabamba,Independiente,461.0,,43769.0,36,5,753.0,Sí,No,Medio,1
1207,69,Femenino,Soltero,Técnico,La Paz,Independiente,364.0,,11941.0,36,3,658.0,Sí,No,Medio,0
1208,31,Masculino,Viudo,Secundaria,La Paz,Jubilado,445.0,5781.0,21102.0,36,0,765.0,No,No,Bajo,1
1209,59,Femenino, CASADO,Secundaria,Oruro,Empleado Público,257.0,5656.0,11765.0,18,0,639.0,si,No,Bajo,1
